,Algorithms,Accuracy,Precision,Accuracy_score_after_max_3000,Precision_score_after_max_3000,Accuracy_scaling,Precision_scaling
0,MNB,0.9593810444874274,1.0,0.9700193423597679,1.0,0.9738878143133463,0.9302325581395349
1,KN,0.9110251450676983,1.0,0.9119922630560928,1.0,0.9081237911025145,0.9777777777777777
2,RF,0.9729206963249516,0.9910714285714286,0.9729206963249516,0.9824561403508771,0.9729206963249516,0.9824561403508771
3,ET,0.971953578336557,0.9739130434782609,0.9758220502901354,0.9669421487603306,0.9758220502901354,0.9669421487603306
4,SVC,0.9700193423597679,0.9734513274336283,0.9729206963249516,0.9741379310344828,0.965183752417795,0.9322033898305084
5,LR,0.9545454545454546,0.9595959595959596,0.9564796905222437,0.9696969696969697,0.9622823984526112,0.9541284403669725
6,XGB,0.9690522243713733,0.9568965517241379,0.9642166344294004,0.9391304347826087,0.9642166344294004,0.9391304347826087
7,GBDT,0.9458413926499033,0.9183673469387755,0.9477756286266924,0.9375,0.9477756286266924,0.9375
8,BC,0.9564796905222437,0.8604651162790697,0.9555125725338491,0.8650793650793651,0.9555125725338491,0.8650793650793651
9,DT,0.9342359767891683,0.8431372549019608,0.9264990328820116,0.7980769230769231,0.9284332688588007,0.8137254901960784
10,AdaBoost,0.9206963249516441,0.8255813953488372,0.9206963249516441,0.8255813953488372,0.9206963249516441,0.8255813953488372
